"1182944";"58333";"1182944";"38954";"WO9009645A1";"pdf";"5";"24";"wo9009645a1";NULL;"2";"1";"1";NULL;NULL;NULL;"Vehicle Monitoring System";NULL;"Lewis Roger William Stuart [GB]";NULL;"WO9009645A1";"1990-08-23";"WO1990GB00221";"1990-02-12";NULL;NULL;"G07C5/00";"G07C 5/008";"0";NULL;NULL;NULL;NULL;"0"
"1182945";"58333";"1182945";"38954";"WO2024178463A1";"pdf";"5";"25";"wo2024178463a1";NULL;"2";"1";"1";NULL;NULL;NULL;"""method, System, And Device To Monitor Vehicles""";NULL;"Kolb Rylan Jeffrey [AU]; Fenech Paul Mitchell [AU]";NULL;"WO2024178463A1";"2024-09-06";"WO2024AU50157";"2024-02-27";NULL;NULL;"B60W40/13; B60W50/04; B62D63/08; G01G19/02; G01G19/03; G06Q50/40; G07C5/00; G08C17/00; G08C17/02; G08C25/00; G08C25/02; H04Q9/00";"B60W 40/10; B60W 40/13; G01G 19/12; G01G 19/12; G06Q 10/06; G06Q 50/40; G07C 5/008; G07C 5/008; H04Q 9/00; B60W 2300/147; B60W 2422/00; B60W 2556/45; G01D 3/08; G01P 15/00; G06Q 50/40; H04Q 2209/43";"0";NULL;NULL;NULL;NULL;"0"
"1182946";"58333";"1182946";"38954";"WO03073339A1";"pdf";"5";"26";"wo03073339a1";NULL;"2";"1";"1";NULL;NULL;NULL;"Vehicle Monitoring System";NULL;"Chamberlain Brian [IE]; Mcclean Derek [IE]; Martin Leo [IE]; Redler Y [IL]; Lally Robert [IE]; Wiley Michael [IE]";NULL;"WO03073339A1";"2003-09-04";"WO2003IE00028";"2003-02-26";NULL;NULL;"G07C5/00; G08G1/123";"G07C 5/008; G08G 1/20";"0";NULL;NULL;NULL;NULL;"0"
"1182920";"58333";"1182920";"38954";"9811951";"pdf";"5";"8";"us9811951";NULL;"2";"1";"1";NULL;NULL;NULL;"Systems And Methods For Managing Fault Codes";"Various embodiments of the present invention provide systems and methods for managing fault codes triggered by one or more vehicles during operation. In general, various embodiments of the invention involve recording and analyzing fault codes triggered during a particular time period while a vehicle is in operation. As a result of the analysis, various embodiments of the invention may set a state for each of the identified fault codes, the state indicating a level of action to address the identified fault code. In particular embodiments, the states may be one of a caution state indicating one or more components or sub-systems of the vehicle should be monitored, a critical state indicating one or more components or sub-systems of the vehicle should be repaired, or an environmental state indicating failure or potential failure of one or more components or sub-systems of the vehicle may affect one or more environmental conditions.";"Olsen Iii John A [US]; Bradley David L [US]; Hendrix Matthew S [US]";"United Parcel Service of America, Inc.";"US9811951B2";"2017-11-07";"US201615040486";"2016-02-10";NULL;NULL;"G07C5/02; G07C5/08; A61B5/00; B64F5/60; G01M15/05; G01M17/00; G05B23/02; G06F7/00; G06F15/00; G06F17/10; G06Q50/22; G07C5/00; G16Z99/00";"G05B 23/0283; G05B 23/0283; G07C 5/02; G07C 5/08; G07C 5/0808; G07C 5/0808; G07C 5/085; A61B 5/00; B64F 5/60; B64F 5/60; G01M 15/05; G01M 17/00; G05B 23/0235; G06F 7/00; G06F 15/00; G06F 17/10; G07C 5/008; G16Z 99/00; G16Z 99/00";"0";NULL;NULL;NULL;NULL;"0"
"1182923";"58333";"1182923";"38954";"9672667";"pdf";"5";"11";"us9672667";NULL;"2";"1";"1";;NULL;NULL;"System For Processing Fleet Vehicle Operation Information";"In one embodiment, a system for presenting fleet vehicle operation information in standardized forms includes a telematics module and a data standardizing module. The telematics module receives measurements related to operation of multiple vehicles in a fleet. The data standardizing module, using a first technique, estimates a first value for a parameter for at least one vehicle of the multiple vehicles based at least on the measurements. Further, the data standardizing module, using a second technique, estimates a second value for the parameter for at least one vehicle of the multiple vehicles based at least on the measurements. The second technique including using some measurement to estimate the second value different from the measurements used to estimate the first value according to the first technique. The data standardizing module outputs one or both of the first value and the second value for presentation to a user.";"Mason Ralph James [NZ]; Mitchell David John [US]; Morris John Thomas [US]";NULL;"US9672667B2";"2017-06-06";"US201514688849";"2015-04-16";NULL;NULL;"G07C5/08; G07C5/00; G07C9/00";"G07C 5/008; G07C 5/008; G07C 5/0816; G07C 5/0816; G07C 5/085; G07C 5/085; G07C 2009/0092; G07C 2009/0092";"0";;NULL;"1000-01-01";"1000-01-01";"0"
"1182924";"58333";"1182924";"38954";"9563492";"pdf";"5";"12";"us9563492";NULL;"2";"1";"1";;NULL;NULL;"Service Diagnostic Trouble Code Sequencer And Method";"A service diagnostic trouble code sequencer and method is disclosed that includes receiving multiple diagnostic trouble codes (DTCs), determining which DTCs to diagnose first, and recommending which DTC(s) to diagnose first. The sequencer can recommend a category of DTCs to diagnose first, where the category of DTCs includes one or more DTCs. The sequencer can prioritize the DTCs in the category of DTCs. The sequencer can separate the DTCs into multiple categories of DTCs, and prioritize the multiple categories of DTCs. The sequencer can prioritize the DTCs in an ordered category of the multiple categories of DTCs. The sequencer can receive the plurality of DTCs locally or remotely over a network. The sequencer can output the one or more DTCs to diagnose first locally or remotely over a network. The sequencer can be resident on the machine generating the DTCs.";"Bell Joseph A [US]; Ritter Curtis Paul [US]; Carpenter Kelly R [US]; Shamrell Brigham R [US]; Friedrich Mark A [US]";NULL;"US9563492B2";"2017-02-07";"US201514593400";"2015-01-09";NULL;NULL;"G06F11/07; G05B23/02; G07C5/08";"G05B 23/0218; G05B 23/0272; G06F 11/0739; G06F 11/0739; G06F 11/079; G06F 11/079; G06F 17/30964; G06Q 10/20; G07C 5/0808; G07C 5/0808";"0";;NULL;"1000-01-01";"1000-01-01";"0"
"1182934";"58333";"1182934";"38954";"8892451";"pdf";"5";"22";"us8892451";NULL;"2";"1";"1";NULL;NULL;NULL;"Vehicle Monitoring System";"A data logging device tracks the operation of a vehicle or driver actions. The device includes a storage device, which may be removable or portable, having a first memory portion that may be read from and may be written to in a vehicle and a second memory portion that may be read from and may be written to in the vehicle. The second memory portion may retain data attributes associated with the data stored in the first removable storage device. A processor reads data from an automotive bus that transfers data from vehicle sensors to other automotive components. The processor writes data to the first memory portion and the second memory portion that reflect a level of risk or safety. A communication device links the storage device to a network of computers. The communication device may be accessible through software that allows a user to access files.";"Everett William Curtis [US]; Hutchinson Richard Ashton [US]; Steigerwald Iii Wilbert John [US]; Say William Andrew [US]; O'malley Patrick Lawrence [US]; Shrallow Dane Allen [US]; Ling Raymond Scott [US]; Mcmillan Robert John [US]";"Progressive Casualty Insurance Company";"US8892451B2";"2014-11-18";"US201213617929";"2012-09-14";NULL;NULL;"G06Q40/08; G06Q10/08; G07C5/00";"G06Q 10/0833; G06Q 10/0833; G06Q 40/08; G06Q 40/08; G07C 5/008; G07C 5/008";"0";NULL;NULL;NULL;NULL;"0"
"1182914";"58333";"1182914";"38954";"8751098";"pdf";"5";"2";"us8751098";NULL;"2";"1";"1";NULL;NULL;NULL;"Method Of Monitoring Canbus Information";"The specification and drawing figures describe and show a method and system of monitoring CANbus information across an integrated wireless equipment management system and a mobile wireless communications system. The CANbus, mounted in a vehicle, provides communication and diagnostic information among vehicle components that, because the CANbus also is operatively connectable to the integrated wireless equipment management system, may be transmitted across that system. The CANbus includes one or more original parameters associated with sensors that are converted into virtual sensors to provide selective vehicle information to a terminal of the integrated wireless equipment management system.";"Faus Juan [US]; Ram Satish [US]";"Omnitracs, LLC";"US8751098B2";"2014-06-10";"US20080020464";"2008-01-25";NULL;NULL;"G01M17/00";"G07C 5/008; G07C 5/008; G07C 5/0808; G07C 5/0808; G07C 5/085; G07C 5/085; H04L 12/40; H04L 12/40";"0";NULL;NULL;NULL;NULL;"0"
"1182931";"58333";"1182931";"38954";"8589018";"pdf";"5";"19";"us8589018";NULL;"2";"1";"1";NULL;NULL;NULL;"Vehicle Diagnostic Tool With Copy Protection And Automatic Identification Of Vehicle Ecus And Fault Display";"A diagnostic tool for a vehicle configured to automatically identify different communication protocols used by Electronic Control Units (ECUs) on-board the vehicle. The diagnostic tool includes a connector connectable to a data port of the vehicle; a data processor and a data storage device configured to store a list of different communication protocols. The data processor automatically initiates communications with the ECUs on-board the vehicle using a first communication protocol and if the data processor receives a response comporting to the first communication protocol, the data processor determines that at least one ECU on-board the vehicle is using the first communication protocol. Additionally, the data processor automatically initiates communications with the ECUs on-board the vehicle using a second communication protocol and if the data processor receives a response comporting to the second communication protocol, the data processor determines that at least one ECU on-board the vehicle is using the second communication protocol.";"Sarnacke James G [US]; Garibay Paul [US]; Laferle Michael D [US]; Morris Dan O [US]; Skladanowski David F [US]; Sinha Venkateshwar [US]; Shock David Paul [US]";"IDSC Holdings, LLC";"US8589018B2";"2013-11-19";"US20100702694";"2010-02-09";NULL;NULL;"G06F19/00; B60R25/00";"B60R 25/00; B60R 25/00; G07C 5/0808; G07C 5/0808";"0";NULL;NULL;NULL;NULL;"0"
"1182935";"58333";"1182935";"38954";"8244779";"pdf";"5";"23";"us8244779";NULL;"2";"1";"1";;NULL;NULL;"Method And System For Monitoring A Mobile Equipment Fleet";"A method is disclosed. The method includes receiving a message from a remote device. The message includes data. The method further includes analyzing the data using a set of rules. The analyzing includes performing a maintenance analysis by analyzing the data using a set of asset maintenance rules and a set of asset usage rules. Responsive to the analyzing the data using the set of rules, an alert is sent.";"Borg Christophe S [US]; Copeland Christopher K [US]";NULL;"US8244779B2";"2012-08-14";"US201113253599";"2011-10-05";NULL;NULL;"G06F17/30";"G06Q 10/06; G06Q 10/06; G06Q 10/0631; G06Q 10/0631; Y10S 707/917; Y10S 707/918; Y10S 707/944; Y10S 707/955";"0";;NULL;"1000-01-01";"1000-01-01";"0"
